Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Names for baby boys in England and Wales, 1996 to 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001,,2000,,1999,,1998,,1997,,1996,
Name,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count,Rank,Count
"A ",2335,9,2020,11,2964,6,2660,7,1589,15,2613,7,2941,6,:,:,3158,5,2741,6,2870,5,:,:,:,:,:,:,:,:,3134,3,:,:,:,:,:,:,:,:,:,:
"A.J. ",:,:,:,:,:,:,:,:,:,:,:,:,:,:,4527,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2943,3,:,:,:,:,:,:
"AABAN ",4810,3,2319,9,1281,20,1706,13,1313,19,1909,11,2036,10,3227,5,2507,7,4333,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AABID ",4810,3,3004,6,4632,3,:,:,:,:,:,:,3332,5,:,:,:,:,:,:,4052,3,:,:,:,:,:,:,:,:,3134,3,2142,5,:,:,2901,3,:,:,:,:
"AADAM ",326,145,322,143,374,109,373,109,434,91,467,80,543,63,432,87,461,77,470,72,472,66,374,84,413,67,381,69,334,77,444,48,472,42,418,53,430,49,578,30,588,28
"AADAN ",:,:,:,:,4632,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADARSH ",:,:,4747,3,:,:,:,:,:,:,3830,4,:,:,:,:,:,:,3589,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADEN ",2556,8,:,:,:,:,3315,5,:,:,4647,3,2941,6,3744,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADESH ",:,:,3908,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHAM ",:,:,4747,3,:,:,:,:,4805,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3467,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHAV ",4023,4,3908,4,:,:,4685,3,2721,7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHEEN ",:,:,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHI ",:,:,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHITHYA ",:,:,:,:,:,:,:,:,4805,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADHVIK ",4810,3,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADI ",3079,6,1902,12,1486,16,1920,11,1756,13,1909,11,1551,15,1099,23,1596,13,2741,6,1280,16,1851,9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADIDEV ",:,:,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADIL ",1704,14,1442,17,1144,23,1462,16,1507,16,976,28,1241,20,1425,16,1242,19,820,32,832,30,666,39,678,35,746,28,586,34,559,34,579,32,507,39,571,32,694,23,588,28
"AADIT ",4810,3,4747,3,:,:,3822,4,2117,10,4647,3,3332,5,1859,11,3687,4,3095,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADITYA ",2335,9,3373,5,1721,13,2055,10,1756,13,2194,9,2036,10,2318,8,3158,5,1885,10,3385,4,2754,5,:,:,:,:,:,:,:,:,:,:,2943,3,:,:,2859,3,:,:
"AADVIK ",2335,9,2483,8,3895,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AADYA ",:,:,:,:,:,:,:,:,4805,3,3830,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAHAAN ",4023,4,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAHAD ",:,:,:,:,:,:,4685,3,:,:,:,:,:,:,:,:,4432,3,:,:,:,:,:,:,2578,5,3467,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAHAN ",2335,9,3004,6,2964,6,:,:,3416,5,3830,4,:,:,4527,3,3687,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAHIL ",399,108,442,92,475,83,611,56,606,58,852,34,744,40,972,27,1124,22,2023,9,3385,4,1851,9,2070,7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAJAY ",:,:,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAKARSH ",:,:,:,:,:,:,:,:,:,:,:,:,:,:,4527,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAKASH ",:,:,4747,3,3895,4,3822,4,:,:,3300,5,3865,4,4527,3,:,:,3589,4,4052,3,2174,7,1878,8,2189,6,:,:,1746,7,2501,4,1281,10,1055,13,1174,11,1337,9
"AAKIF ",4810,3,2707,7,4632,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AALIM ",:,:,3908,4,:,:,4685,3,:,:,4647,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AALIYAAN ",:,:,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AALIYAN ",4023,4,4747,3,3362,5,:,:,:,:,:,:,:,:,3744,4,4432,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAMAN ",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4432,3,4333,3,:,:,:,:,3651,3,:,:,:,:,:,:,:,:,:,:,:,:,2337,4,2863,3
"AAMAR ",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3134,3,:,:,:,:,:,:,2859,3,:,:
"AAMER ",:,:,:,:,:,:,:,:,:,:,:,:,3865,4,4527,3,:,:,:,:,:,:,3849,3,:,:,:,:,2636,4,:,:,:,:,:,:,:,:,:,:,:,:
"AAMIL ",:,:,:,:,:,:,:,:,3416,5,3830,4,4678,3,4527,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAMIR ",1234,22,977,30,1486,16,1247,20,1367,18,1158,22,1055,26,1494,15,1124,22,1125,21,960,24,1190,17,1160,16,761,27,671,29,617,30,673,27,454,47,554,33,438,46,379,57
"AANAV ",:,:,3908,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AANAY ",4810,3,4747,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AANIS ",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4052,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"AAQIB ",4023,4,4747,3,:,:,2216,9,2270,9,2194,9,3332,5,3227,5,1706,12,3589,4,1545,12,1716,10,2304,6,1629,9,1253,12,2220,5,2501,4,2097,5,:,:,1578,7,1765,6
"AAQIL ",:,:,:,:,4632,3,2954,6,:,:,:,:,:,:,3227,5,2507,7,4333,3,:,:,3849,3,:,:,3467,3,:,:,3134,3,:,:,:,:,:,:,:,:,:,:
"AARAF ",4810,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
